,"SYMBOL 
","COMPANY 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","% SHAREHOLDING (PRIOR) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","MODE OF ACQUISITION 
","BROADCASTE DATE 
","BROADCASTE TIME 
"
0,AARTIDRUGS,Aarti Drugs Limited,Jigna Hiren Shah,Promoter Group,0.58,4016,4070163,Sell,Equity Shares,130790,Market Sale,08-Jun-2020,18:12:00
1,AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla,Promoter Group,0.48,5000,5004451,Sell,Equity Shares,105837,Market Sale,08-Jun-2020,18:10:00
2,AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla (Momi's Trust),Promoter Group,0.72,1000,989910,Sell,Equity Shares,166218,Market Sale,08-Jun-2020,18:09:00
3,AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla (Momi's Trust),Promoter Group,0.71,1000,1017036,Sell,Equity Shares,165218,Market Sale,08-Jun-2020,18:09:00
4,AARTIIND,Aarti Industries Limited,JAYA CHANDRAKANT GOGRI,Promoter Group,3.46,15024,13773712,Sell,Equity Shares,6008628,Market Sale,08-Jun-2020,18:49:00
5,ADANIGREEN,Adani Green Energy Limited,Adani Trading Services LLP,Promoter Group,33.92,15969000,4754800000,Pledge Revoke,Equity Shares,530579350,Revokation of Pledge,09-Jun-2020,14:53:00
6,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Gautam S. Adani & Rajesh S Adani (On behalf of S. B. Adani Family Trust),Promoter Group,39.34,2775000,952700000,Pledge Revoke,Equity Shares,799353935,Revokation of Pledge,09-Jun-2020,15:28:00
7,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Adani Tradeline LLP,Promoter Group,6.8,50000,17000000,Pledge Revoke,Equity Shares,138193549,Revokation of Pledge,09-Jun-2020,18:51:00
8,ADANITRANS,Adani Transmission Limited,Shri Gautam S. Adani/Shri Rajesh S. Adani (on behalf of S. B. Adani Family Trust),Promoter Group,56.48,900000,161700000,Pledge Revoke,Equity Shares,621197910,Revokation of Pledge,09-Jun-2020,18:54:00
9,ALEMBICLTD,Alembic Limited,Nirayu Limited,Promoter Group,60.21,3926391,212404248,Buy,Equity Shares,158544523,Market Purchase,08-Jun-2020,18:44:00
10,APOLLOTYRE,Apollo Tyres Limited,PTL Enterprises Limited,Promoter Group,0.97,480000,50260145,Buy,Equity Shares,6010443,Market Purchase,08-Jun-2020,14:46:00
11,APOLLOTYRE,Apollo Tyres Limited,PTL Enterprises Limited,Promoter Group,0.95,10000,1042412,Buy,Equity Shares,5530443,Market Purchase,08-Jun-2020,14:46:00
12,APOLLOTYRE,Apollo Tyres Limited,PTL Enterprises Limited,Promoter Group,0.85,635000,68621277,Buy,Equity Shares,5520443,Market Purchase,08-Jun-2020,14:46:00
13,APTECHT,Aptech Limited,Jatin Koticha,Immediate relative,0.12,14000,1405740,Sell,Equity Shares,35000,Market Sale,08-Jun-2020,13:22:00
14,AUBANK,AU Small Finance Bank Limited,Prince Tiwari,Employees/Designated Employees,0.0,6000,3018600,Buy,Equity Shares,11766,ESOP,09-Jun-2020,17:58:00
15,AUBANK,AU Small Finance Bank Limited,Vivek Tripathi,Employees/Designated Employees,0.02,10390,5227209,Buy,Equity Shares,70708,ESOP,09-Jun-2020,17:58:00
16,AUBANK,AU Small Finance Bank Limited,Raj Kumar Sharma,Employees/Designated Employees,0.01,19530,9825543,Buy,Equity Shares,52717,ESOP,09-Jun-2020,17:58:00
17,AUBANK,AU Small Finance Bank Limited,Raj Kumar Sharma,Employees/Designated Employees,0.02,19530,9825543,Pledge,Equity Shares,52717,Pledge Creation,09-Jun-2020,17:58:00
18,AUBANK,AU Small Finance Bank Limited,Vivek Tripathi,Employees/Designated Employees,0.02,2998,1508294,Pledge,Equity Shares,70708,Pledge Creation,09-Jun-2020,17:58:00
19,AUBANK,AU Small Finance Bank Limited,DEEPAK GOYAL,Employees/Designated Employees,0.0,2664,1340258,Buy,Equity Shares,10990,ESOP,09-Jun-2020,17:58:00
20,AUBANK,AU Small Finance Bank Limited,SHOORVEER SINGH SHEKHAWAT,Employees/Designated Employees,0.0,2360,1187316,Buy,Equity Shares,4480,ESOP,09-Jun-2020,17:58:00
21,BAJFINANCE,Bajaj Finance Limited,Shri Rajeev Jain,Director,0.02,101250,253185750,Pledge,Equity Shares,153950,Pledge Creation,08-Jun-2020,19:29:00
22,BAJFINANCE,Bajaj Finance Limited,Shri Rajeev Jain,Director,0.0,101250,22240575,Buy,Equity Shares,153950,ESOP,08-Jun-2020,19:29:00
23,BAJFINANCE,Bajaj Finance Limited,Shri Sidhant Dadwal,Employees/Designated Employees,0.0,9500,24042885,Pledge Revoke,Equity Shares,14526,Revokation of Pledge,08-Jun-2020,19:29:00
24,BAJFINANCE,Bajaj Finance Limited,Shri Rajeev Jain,Director,0.02,50300,126319396,Pledge Revoke,Equity Shares,153950,Revokation of Pledge,08-Jun-2020,19:29:00
25,BAJFINANCE,Bajaj Finance Limited,Shri Rajeev Jain,Director,0.02,50300,126319396,Sell,Equity Shares,53950,Market Sale,08-Jun-2020,19:29:00
26,BAJFINANCE,Bajaj Finance Limited,Shri Sidhant Dadwal,Employees/Designated Employees,0.0,9750,7462358,Buy,Equity Shares,9750,ESOP,08-Jun-2020,20:09:00
27,BAJFINANCE,Bajaj Finance Limited,Shri Sidhant Dadwal,Employees/Designated Employees,0.0,2388,3218427,Buy,Equity Shares,12138,ESOP,08-Jun-2020,20:09:00
28,BAJFINANCE,Bajaj Finance Limited,Shri Sidhant Dadwal,Employees/Designated Employees,0.0,2388,4584841,Buy,Equity Shares,14526,ESOP,08-Jun-2020,20:09:00
