Index,index,"SYMBOL 
","COMPANY 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","% SHAREHOLDING (PRIOR) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","MODE OF ACQUISITION 
","BROADCASTE DATE AND TIME 
"
0,0,AARTIDRUGS,Aarti Drugs Limited,Jaya C. Gogri,Promoter Group,1.44,14546,14397295,Buy,Equity Shares,350524,Market Purchase,11-Jun-2020 17:35
1,1,AARTIDRUGS,Aarti Drugs Limited,Jaya C. Gogri,Promoter Group,1.4,10000,9856295,Buy,Equity Shares,335978,Market Purchase,11-Jun-2020 17:35
2,2,AAVAS,Aavas Financiers Limited,AJAY SHARMA,Employees/Designated Employees,0.0,2320,2858181,Sell,Equity Shares,0,Market Sale,10-Jun-2020 20:02
3,3,ADANIENT,Adani Enterprises Limited,Gautam S Adani / Rajesh S Adani (on behalf of S.B. Adani Family Trust),Promoter Group,56.48,700000,106300000,Pledge Revoke,Equity Shares,621197910,Revokation of Pledge,11-Jun-2020 19:43
4,4,ADANIGREEN,Adani Green Energy Limited,Adani Trading Services LLP,Promoter Group,33.92,15969000,4754800000,Pledge Revoke,Equity Shares,530579350,Revokation of Pledge,09-Jun-2020 14:53
5,5,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Adani Tradeline LLP,Promoter Group,6.8,480000,164800000,Pledge Revoke,Equity Shares,138193549,Revokation of Pledge,10-Jun-2020 10:34
6,6,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Gautam S. Adani & Rajesh S Adani (On behalf of S. B. Adani Family Trust),Promoter Group,39.34,2775000,952700000,Pledge Revoke,Equity Shares,799353935,Revokation of Pledge,09-Jun-2020 15:28
7,7,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Adani Tradeline LLP,Promoter Group,6.8,50000,17000000,Pledge Revoke,Equity Shares,138193549,Revokation of Pledge,09-Jun-2020 18:51
8,8,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Gautam S. Adani & Rajesh S Adani (On behalf of S. B. Adani Family Trust),Promoter Group,39.34,3200000,1109000000,Pledge Revoke,Equity Shares,799353935,Revokation of Pledge,11-Jun-2020 16:26
9,9,ADANITRANS,Adani Transmission Limited,Shri Gautam S. Adani/Shri Rajesh S. Adani (on behalf of S. B. Adani Family Trust),Promoter Group,56.48,700000,138500000,Pledge Revoke,Equity Shares,621197190,Revokation of Pledge,11-Jun-2020 16:29
