"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"BAJFINANCE","Bajaj Finance Limited","7(2)","Shri Rajeev Jain","Director","Equity Shares","52700","0",,"101250","22240575","Buy","Equity Shares","153950","0.02","08-Jun-2020","08-Jun-2020","08-Jun-2020","ESOP","-","-","0","0","0","0","NA","-","08-Jun-2020 19:29","https://archives.nseindia.com/corporate/xbrl/IT_1073203_264162_08062020072944_WEB.xml"
"BAJFINANCE","Bajaj Finance Limited","7(2)","Shri Sidhant Dadwal","Employees/Designated Employees","Equity Shares","14526","0",,"9500","24042885","Pledge Revoke","Equity Shares","14526","0","08-Jun-2020","08-Jun-2020","08-Jun-2020","Revokation of Pledge","-","-","0","0","0","0","NA","-","08-Jun-2020 19:29","https://archives.nseindia.com/corporate/xbrl/IT_1073203_264162_08062020072944_WEB.xml"
"BAJFINANCE","Bajaj Finance Limited","7(2)","Shri Rajeev Jain","Director","Equity Shares","104250","0.02",,"50300","126319396","Sell","Equity Shares","53950","0","08-Jun-2020","08-Jun-2020","08-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","08-Jun-2020 19:29","https://archives.nseindia.com/corporate/xbrl/IT_1073203_264162_08062020072944_WEB.xml"
"BAJFINANCE","Bajaj Finance Limited","7(2)","Shri Rajeev Jain","Director","Equity Shares","153950","0.02",,"49700","124473650","Sell","Equity Shares","104250","0.01","08-Jun-2020","08-Jun-2020","08-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","08-Jun-2020 19:29","https://archives.nseindia.com/corporate/xbrl/IT_1073203_264162_08062020072944_WEB.xml"
"BAJFINANCE","Bajaj Finance Limited","7(2)","Shri Rajeev Jain","Director","Equity Shares","153950","0.02",,"50300","126319396","Pledge Revoke","Equity Shares","153950","0.03","08-Jun-2020","08-Jun-2020","08-Jun-2020","Revokation of Pledge","-","-","0","0","0","0","NA","-","08-Jun-2020 19:29","https://archives.nseindia.com/corporate/xbrl/IT_1073203_264162_08062020072944_WEB.xml"
"BAJFINANCE","Bajaj Finance Limited","7(2)","Shri Rajeev Jain","Director","Equity Shares","153950","0.02",,"101250","253185750","Pledge","Equity Shares","153950","0.02","08-Jun-2020","08-Jun-2020","08-Jun-2020","Pledge Creation","-","-","0","0","0","0","NA","-","08-Jun-2020 19:29","https://archives.nseindia.com/corporate/xbrl/IT_1073203_264162_08062020072944_WEB.xml"
"BAJFINANCE","Bajaj Finance Limited","7(2)","Shri Sidhant Dadwal","Employees/Designated Employees","Equity Shares","14526","0",,"9500","24042885","Sell","Equity Shares","5026","0","08-Jun-2020","08-Jun-2020","08-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","08-Jun-2020 19:29","https://archives.nseindia.com/corporate/xbrl/IT_1073203_264162_08062020072944_WEB.xml"
"VMART","V-Mart Retail Limited","7(2)","Hemant Agarwal HUF","Promoters","Equity Shares","307249","1.69",,"25000","43006330","Sell","Equity Shares","282249","1.55","08-Jun-2020","08-Jun-2020","08-Jun-2020","Market Sale","-","-","0","0","0","0","BSE","-","08-Jun-2020 19:24","https://archives.nseindia.com/corporate/xbrl/IT_1073202_264159_08062020072421_WEB.xml"
"VMART","V-Mart Retail Limited","7(2)","Smiti Agarwal","Promoters","Equity Shares","363505","2",,"50000","85001000","Sell","Equity Shares","313505","1.73","05-Jun-2020","05-Jun-2020","08-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","08-Jun-2020 19:24","https://archives.nseindia.com/corporate/xbrl/IT_1073202_264159_08062020072421_WEB.xml"
"VMART","V-Mart Retail Limited","7(2)","Hemant Agarwal HUF","Promoters","Equity Shares","282249","1.55",,"50000","85100000","Sell","Equity Shares","232249","1.28","08-Jun-2020","08-Jun-2020","08-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","08-Jun-2020 19:24","https://archives.nseindia.com/corporate/xbrl/IT_1073202_264159_08062020072421_WEB.xml"
