SYMBOL,COMPANY,NAME OF THE ACQUIRER/DISPOSER,CATEGORY OF PERSON,% SHAREHOLDING (PRIOR),NO. OF SECURITIES (ACQUIRED/DISPLOSED),VALUE OF SECURITY (ACQUIRED/DISPLOSED),ACQUISITION/DISPOSAL TRANSACTION TYPE,TYPE OF SECURITY (POST),NO. OF SECURITY (POST),MODE OF ACQUISITION
20MICRONS,20 Microns Limited,CHANDRESH S. PARIKH,Promoters,10.68,19250.0,440428.0,Buy,Equity Shares,3787143,Market Purchase
20MICRONS,20 Microns Limited,AJAY ISHWARLAL RANKA,Director,0.0,10000.0,339830.05,Buy,Equity Shares,10000,Market Purchase
20MICRONS,20 Microns Limited,AJAY ISHWARLAL RANKA,Director,0.03,10000.0,343476.1,Buy,Equity Shares,20000,Market Purchase
20MICRONS,20 Microns Limited,AJAY ISHWARLAL RANKA,Director,0.06,10000.0,344824.46,Buy,Equity Shares,30000,Market Purchase
20MICRONS,20 Microns Limited,AJAY ISHWARLAL RANKAAJAY,Director,0.09,10000.0,360105.6,Buy,Equity Shares,40000,Market Purchase
20MICRONS,20 Microns Limited,AJAY ISHWARLAL RANKAAJAY,Director,0.13,11864.0,442494.01,Buy,Equity Shares,57555,Market Purchase
20MICRONS,20 Microns Limited,AJAY ISHWARLAL RANKAAJAY,Director,0.16,6359.0,238413.31,Buy,Equity Shares,63914,Market Purchase
20MICRONS,20 Microns Limited,AJAY ISHWARLAL RANKAAJAY,Director,0.19,627.0,23537.5,Buy,Equity Shares,68041,Market Purchase
20MICRONS,20 Microns Limited,AJAY ISHWARLAL RANKAAJAY,Director,0.18,3500.0,131390.0,Buy,Equity Shares,67414,Market Purchase
20MICRONS,20 Microns Limited,AJAY ISHWARLAL RANKAAJAY,Director,0.19,75000.0,2968441.05,Buy,Equity Shares,143041,Market Purchase
20MICRONS,20 Microns Limited,AJAY ISHWARLAL RANKAAJAY,Director,0.41,45617.0,1825000.48,Buy,Equity Shares,188658,Market Purchase
20MICRONS,20 Microns Limited,CHANDRESH S. PARIKH,Promoters,10.56,16642.0,358915.0,Buy,Equity Shares,3743888,Market Purchase
