"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","7(2)","Shankha Banerjee","Employees/Designated Employees","Equity Shares","15790","0.02",,"3150","31500","Buy","Equity Shares","18940","0.02","16-Jun-2020","16-Jun-2020","18-Jun-2020","ESOP","-","-","0","0","0","0","NA","-","19-Jun-2020 12:04","https://archives.nseindia.com/corporate/xbrl/IT_1073808_266642_19062020120432_WEB.xml"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","7(2)","Dr. Archana Lal Erdmann","Promoter Group","Equity Shares","1963751","2.36",,"5904","9418934","Sell","Equity Shares","1957847","2.35","16-Jun-2020","16-Jun-2020","18-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","19-Jun-2020 12:04","https://archives.nseindia.com/corporate/xbrl/IT_1073808_266642_19062020120432_WEB.xml"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","7(2)","Dr. Lal PathLabs Employees Welfare Trust","Other","Equity Shares","866046","1.04",,"4648","46480","Sell","Equity Shares","861398","1.03","15-Jun-2020","16-Jun-2020","17-Jun-2020","ESOP","-","-","0","0","0","0","NA","-","19-Jun-2020 12:04","https://archives.nseindia.com/corporate/xbrl/IT_1073808_266642_19062020120432_WEB.xml"
"PIDILITIND","Pidilite Industries Limited","7(2)","Rajesh Joshi","Other","Equity Shares","3350","0",,"2050","2050","Buy","Equity Shares","5400","0","18-Jun-2020","18-Jun-2020","18-Jun-2020","ESOP","-","-","0","0","0","0","NA","-","19-Jun-2020 11:55","https://archives.nseindia.com/corporate/xbrl/IT_1073807_266639_19062020115504_WEB.xml"
"PIDILITIND","Pidilite Industries Limited","7(2)","Shantanu Bhanja","Employees/Designated Employees","Equity Shares","1450","0",,"1250","1250","Buy","Equity Shares","2700","0","18-Jun-2020","18-Jun-2020","18-Jun-2020","ESOP","-","-","0","0","0","0","NA","-","19-Jun-2020 11:55","https://archives.nseindia.com/corporate/xbrl/IT_1073807_266639_19062020115504_WEB.xml"
"SOLARA","Solara Active Pharma Sciences Limited","7(2)","CHAITANYA VAIDYA","Immediate relative","Equity Shares","32000","0.12",,"8000","5126850","Buy","Equity Shares","40000","0.15","18-Jun-2020","18-Jun-2020","19-Jun-2020","Market Purchase","-","-","0","0","0","0","NSE","-","19-Jun-2020 11:02","https://archives.nseindia.com/corporate/xbrl/IT_1073804_266631_19062020110226_WEB.xml"
"HARRMALAYA","Harrisons  Malayalam Limited","7(2)","Rainbow Investments Ltd","Promoter Group","Equity Shares","4660222","25.25",,"53179","3789004","Sell","Equity Shares","4607043","24.96","18-Jun-2020","18-Jun-2020","18-Jun-2020","Off Market","-","-","0","0","0","0","NA","-","19-Jun-2020 10:51","https://archives.nseindia.com/corporate/xbrl/IT_1073802_266628_19062020105116_WEB.xml"
"HARRMALAYA","Harrisons  Malayalam Limited","7(2)","TRADE APARTMENTS LTD","Promoter Group","Equity Shares","157387","0.85",,"53179","3789004","Buy","Equity Shares","210566","1.14","18-Jun-2020","18-Jun-2020","18-Jun-2020","Off Market","-","-","0","0","0","0","NA","-","19-Jun-2020 10:37","https://archives.nseindia.com/corporate/xbrl/IT_1073800_266621_19062020103752_WEB.xml"
"VAIBHAVGBL","Vaibhav Global Limited","7(2)","Vaibhav Global Employee Stock Option Welfare Trust","Other","Equity Shares","14563","0.05",,"1360","1632259","Sell","Equity Shares","13203","0.05","17-Jun-2020","17-Jun-2020","17-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 23:41","https://archives.nseindia.com/corporate/xbrl/IT_1073797_266613_18062020114134_WEB.xml"
"VAIBHAVGBL","Vaibhav Global Limited","7(2)","Vaibhav Global Employee Stock Option Welfare Trust","Other","Equity Shares","15878","0.05",,"1315","1611324","Sell","Equity Shares","14563","0.05","16-Jun-2020","16-Jun-2020","17-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 23:41","https://archives.nseindia.com/corporate/xbrl/IT_1073797_266613_18062020114134_WEB.xml"
"VAIBHAVGBL","Vaibhav Global Limited","7(2)","Vaibhav Global Employee Stock Option Welfare Trust","Other","Equity Shares","6812","0.02",,"11605","7456350","Buy","Equity Shares","18417","0.06","15-Jun-2020","15-Jun-2020","17-Jun-2020","ESOP","-","-","0","0","0","0","NA","-","18-Jun-2020 23:41","https://archives.nseindia.com/corporate/xbrl/IT_1073797_266613_18062020114134_WEB.xml"
"VAIBHAVGBL","Vaibhav Global Limited","7(2)","Vaibhav Global Employee Stock Option Welfare Trust","Other","Equity Shares","18417","0.06",,"2539","3103003","Sell","Equity Shares","15878","0.05","15-Jun-2020","15-Jun-2020","17-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 23:41","https://archives.nseindia.com/corporate/xbrl/IT_1073797_266613_18062020114134_WEB.xml"
"SUNPHARMA","Sun Pharmaceutical Industries Limited","7(2)","Sailesh T. Desai","Director","Equity Shares","2608929","0.12",,"100000","48010000","Pledge Revoke","Equity Shares","2608929","0.12","12-Jun-2020","12-Jun-2020","18-Jun-2020","Revokation of Pledge","-","-","0","0","0","0","NA","-","18-Jun-2020 23:08","https://archives.nseindia.com/corporate/xbrl/IT_1073796_266608_18062020110812_WEB.xml"
"EDELWEISS","Edelweiss Financial Services Limited","7(2)","Krishnaswamy Siddharth","Employees/Designated Employees","Equity Shares","319000","0.03",,"54000","1781250","Buy","Equity Shares","373000","0.03","12-Jun-2020","12-Jun-2020","16-Jun-2020","ESOP","-","-","0","0","0","0","NA","-","18-Jun-2020 21:26","https://archives.nseindia.com/corporate/xbrl/IT_1073794_266600_18062020092622_WEB.xml"
"HDFCLIFE","HDFC Life Insurance Company Limited","7(2)","SURESH BADAMI","Director","Equity Shares","302578","0.01",,"44550","22344944","Sell","Equity Shares","258028","0.01","17-Jun-2020","17-Jun-2020","17-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 20:54","https://archives.nseindia.com/corporate/xbrl/IT_1073792_266597_18062020085422_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Mr. Ketan Doshi","Employees/Designated Employees","Equity Shares","14619","0",,"2500","1263264","Sell","Equity Shares","12119","0","16-Jun-2020","16-Jun-2020","18-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 20:51","https://archives.nseindia.com/corporate/xbrl/IT_1073791_266592_18062020085147_WEB.xml"
"LTI","Larsen & Toubro Infotech Limited","7(2)","Sudhir Shenoi","Employees/Designated Employees","Equity Shares","33388","0.02",,"1000","1880000","Sell","Equity Shares","32388","0.02","16-Jun-2020","16-Jun-2020","18-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 20:38","https://archives.nseindia.com/corporate/xbrl/IT_1073788_266584_18062020083801_WEB.xml"
"LTI","Larsen & Toubro Infotech Limited","7(2)","Sudhir Shenoi","Employees/Designated Employees","Equity Shares","32388","0.02",,"3253","6148170","Sell","Equity Shares","29135","0.02","17-Jun-2020","17-Jun-2020","18-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 20:38","https://archives.nseindia.com/corporate/xbrl/IT_1073788_266584_18062020083801_WEB.xml"
"LTI","Larsen & Toubro Infotech Limited","7(2)","SIDDHARTH BOHRA","Employees/Designated Employees","Equity Shares","66516","0.04",,"2000","3760000","Sell","Equity Shares","64516","0.04","17-Jun-2020","17-Jun-2020","18-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 20:38","https://archives.nseindia.com/corporate/xbrl/IT_1073788_266584_18062020083801_WEB.xml"
